user_session,first_event_type,first_hour,first_dayofweek,first_price,brand_missing,category_missing,label
2773a531-4fa9-4717-8bca-e4e3cb2bfe6e,view,2,1,51.48,1,0,0
3fa11bd3-3caf-44cf-8499-2eedb84c64fb,view,2,1,2.65,1,1,0
f546e6bf-3eca-4380-af94-886c7ce7ac7f,view,3,1,536.83,0,0,0
734c7983-cabb-46cf-b08d-7c8fb855c6ab,view,2,1,64.35,0,0,0
572f718a-b691-4614-9ad7-c05c3c845197,view,4,1,188.73,0,0,1
1b351e10-be3e-482c-af15-9c611d8d26f9,view,5,1,159.33,0,1,0
9942d019-86fb-4f4b-936a-97af4d5d3287,view,5,1,975.57,0,0,0
4bce95c0-e991-42cb-8206-cbdf98639186,view,3,1,66.93,0,0,0
245038ea-2314-4b6e-8aa6-4fb8c73165eb,view,5,1,130.76,0,0,0
95d78ccf-3c9a-4365-8467-dea1ef09115d,view,4,1,34.49,0,1,0
ea56e247-fb76-4d0f-8e4a-7216889f0f4b,view,4,1,1114.53,1,1,0
941d023e-44ba-4b9c-a6e4-b214efad5a8b,view,4,1,23.14,0,0,0
e7b60d7b-9486-4ea9-b081-8c455e44a4e6,view,5,1,975.57,0,0,0
fd2037b7-e123-48c6-a107-c02456dfa466,view,5,1,151.61,0,0,0
7518d1dd-9c70-4aef-8100-fc1393ac4927,view,4,1,55.09,1,1,0
45b9b148-6cd7-4d85-ab0f-478e9fb93525,view,6,1,1181.37,0,0,0
7637f69a-5fee-4a48-a2c1-9dfdc3bf47fa,view,6,1,28.96,1,1,0
ee5dd265-4b73-44bd-a3e4-258bacc292e4,view,4,1,735.01,0,0,0
1aabbe9b-0720-412a-ad8e-c14776538f1b,view,3,1,278.54,0,0,0
6206216a-c268-417c-bec5-a5b3f7154658,view,3,1,386.08,0,0,0
5e1dd2d8-d6e4-491b-9934-d1b82d6a4406,view,5,1,70.53,0,1,0
e3fd4114-f89d-4cbe-a9d6-d7f9401f29d4,view,4,1,20.85,0,1,0
92aa1912-b242-4cb2-a432-701a77fc9745,view,2,1,1260.67,0,1,0
8fa0866b-890b-428c-b25a-64e9d5e16f7f,view,4,1,134.41,0,0,0
c33ea84e-2a7b-42ca-b51b-b04cdc2886c4,view,5,1,214.81,0,0,0
a89daa3f-a87d-4bb9-810f-80ff0a030925,view,5,1,174.75,0,0,0
303d97ab-36ad-4620-9e5e-9540160cd500,view,5,1,1415.48,0,0,0
aae086c1-dde0-48ec-b94d-6b142e8b28e4,view,5,1,51.22,0,0,0
c9acff1b-d5b1-a3ed-ee05-d56d09c474a4,view,3,1,28.31,0,0,0
469885f3-ee8a-4827-af1d-e8fb83291d36,view,5,1,368.96,0,0,0
